data_rate,rep,service_type,slo_set,p_fitness,dist,cores,data_quality,model_size
0.2,1,elastic-workbench-qr-detector,DEFAULT,0.3971448841682468,"(np.float64(1265.889898018417), np.float64(130.2469790117025))",5.297470894368591,219.55281237731975,-1.0
0.2,1,elastic-workbench-cv-analyzer,DEFAULT,0.4607539692756003,"(np.float64(9.353350431244893), np.float64(5.077981146480676))",1.1901774627854427,209.15003612602862,1.0814835498660458
0.2,1,elastic-workbench-pc-visualizer,DEFAULT,0.7387494393498506,"(np.float64(190.32850077801834), np.float64(21.657527198569923))",1.0000000000000002,43.85911211784503,-1.0
0.2,2,elastic-workbench-qr-detector,DEFAULT,0.3971448841682468,"(np.float64(1265.889898018417), np.float64(130.2469790117025))",5.297470894368591,219.55281237731975,-1.0
0.2,2,elastic-workbench-cv-analyzer,DEFAULT,0.4607539692756003,"(np.float64(9.353350431244893), np.float64(5.077981146480676))",1.1901774627854427,209.15003612602862,1.0814835498660458
0.2,2,elastic-workbench-pc-visualizer,DEFAULT,0.7387494393498506,"(np.float64(190.32850077801834), np.float64(21.657527198569923))",1.0000000000000002,43.85911211784503,-1.0
0.2,3,elastic-workbench-qr-detector,DEFAULT,0.3971448841682468,"(np.float64(1265.889898018417), np.float64(130.2469790117025))",5.297470894368591,219.55281237731975,-1.0
0.2,3,elastic-workbench-cv-analyzer,DEFAULT,0.4607539692756003,"(np.float64(9.353350431244893), np.float64(5.077981146480676))",1.1901774627854427,209.15003612602862,1.0814835498660458
0.2,3,elastic-workbench-pc-visualizer,DEFAULT,0.7387494393498506,"(np.float64(190.32850077801834), np.float64(21.657527198569923))",1.0000000000000002,43.85911211784503,-1.0
0.2,4,elastic-workbench-qr-detector,DEFAULT,0.3971448841682468,"(np.float64(1265.889898018417), np.float64(130.2469790117025))",5.297470894368591,219.55281237731975,-1.0
0.2,4,elastic-workbench-cv-analyzer,DEFAULT,0.4607539692756003,"(np.float64(9.353350431244893), np.float64(5.077981146480676))",1.1901774627854427,209.15003612602862,1.0814835498660458
0.2,4,elastic-workbench-pc-visualizer,DEFAULT,0.7387494393498506,"(np.float64(190.32850077801834), np.float64(21.657527198569923))",1.0000000000000002,43.85911211784503,-1.0
0.2,5,elastic-workbench-qr-detector,DEFAULT,0.3971448841682468,"(np.float64(1265.889898018417), np.float64(130.2469790117025))",5.297470894368591,219.55281237731975,-1.0
0.2,5,elastic-workbench-cv-analyzer,DEFAULT,0.4607539692756003,"(np.float64(9.353350431244893), np.float64(5.077981146480676))",1.1901774627854427,209.15003612602862,1.0814835498660458
0.2,5,elastic-workbench-pc-visualizer,DEFAULT,0.7387494393498506,"(np.float64(190.32850077801834), np.float64(21.657527198569923))",1.0000000000000002,43.85911211784503,-1.0
0.2,1,elastic-workbench-qr-detector,HIGH_PERF,0.7820760263934498,"(np.float64(1320.8162868300128), np.float64(110.35909349679073))",5.97419888160318,195.0809664149878,-1.0
0.2,1,elastic-workbench-cv-analyzer,HIGH_PERF,0.37217006448484213,"(np.float64(19.665866006111248), np.float64(5.213033958688175))",8.0,128.0,1.0
0.2,1,elastic-workbench-pc-visualizer,HIGH_PERF,0.9312430377141594,"(np.float64(336.80460173467367), np.float64(20.404627327899867))",1.062925328837813,10.884874777930719,-1.0
0.2,2,elastic-workbench-qr-detector,HIGH_PERF,0.7820760263934498,"(np.float64(1320.8162868300128), np.float64(110.35909349679073))",5.97419888160318,195.0809664149878,-1.0
