data_rate,p_fitness,cores,data_quality,model_size
1,0.7808434431495315,5.988721030939665,185.71922471826343,
1,0.6604102952642179,7.233090501269976,186.3778806902535,
1,0.65284818643313,4.849043761758338,151.7287903056651,
1,0.5975582244686856,6.6959899215872545,303.01665431469894,
1,0.5130623759606415,5.243819040345256,314.0180696691537,
1,0.5098161170112052,8.0,217.95972537191216,
1,0.4869949582520408,7.736145281706847,307.70441963913913,
1,0.4781849170761318,4.0968357828773625,181.77443012582825,
1,0.3077245933335584,6.809797524030631,403.7225667838252,
1,0.28764213145485434,6.075713952915503,403.03503733261175,
2,0.8233018922883746,7.310461760647415,101.0,
2,0.8049882420298319,6.393418555928726,101.0,
2,0.7193300124018881,5.5136414485968634,135.9136863560527,
2,0.7086671630718101,7.417598183248124,215.45923095897933,
2,0.6925280726002381,6.568031171435319,209.8534520619219,
2,0.5570278482424954,4.033727270867697,119.7814340412479,
2,0.5134958752343115,7.43535896484382,311.857953924869,
2,0.5101925819176478,4.703426504238539,212.8790754937389,
2,0.4793910841034396,6.373993458651956,305.9123603708565,
2,0.46411957415020966,3.2672583079238424,101.0,
3,0.8444001766446225,6.40840926852215,101.0,
3,0.8345880604884527,7.264438278459143,101.0,
3,0.8337618694597138,5.622938569969259,101.0,
3,0.7898921382824318,4.7472797919561085,101.0,
3,0.7381311591591102,6.337006371744995,202.2185442920785,
3,0.7376055215979654,7.741144860455433,203.89827587627812,
3,0.7157115534703309,4.0085231374492825,101.0,
3,0.6892306430548447,5.591938104294519,210.77605033820635,
3,0.5972156966377686,4.5232768967655,207.76885694845484,
3,0.5549768947032854,7.912635883663129,302.0179879131214,
4,0.8570146139159599,6.22074082971233,101.0,
4,0.8388858894700998,7.279037739897273,110.42730089048231,
4,0.8256219084062221,5.061612191514656,107.53015241975136,
4,0.7667970387635742,8.0,175.12967732742786,
4,0.7521758879660598,6.780809586357156,209.3510581715401,
4,0.7368766576879817,3.982321870814594,101.0,
4,0.6662858160044145,5.384496548429622,225.72540732439518,
4,0.5621813004152423,7.760352943351437,302.5894760471175,
4,0.4840790280951225,2.5018168787549717,101.0,
4,0.4694630238112242,3.8021325074227774,227.5742585830881,
5,0.7667366161306843,7.2588692160467625,101.0,
5,0.7508133569679127,6.2913968767613575,101.0,
5,0.6704792788697204,8.0,168.84543155164477,
5,0.6645903148407726,4.846729899023668,101.0,
5,0.592140146977019,6.945431420347402,210.47169860250102,
5,0.5866570051420099,4.106670863796692,101.0,
5,0.54472643726633,5.627908320159328,202.753584065574,
5,0.4489741389995022,4.818939602250132,217.2126993702516,
5,0.3929622844605952,7.6645063130818505,310.4894545463343,
5,0.37817076358413243,6.577781314988313,303.9969967143551,
